document_id,year,title,filer,document_type,page_count,source_pdf_path
2019-2,2019,2019 Annual Financial Disclosure (Form A),Rep. Ro Khanna (CA-17),annual_disclosure,210,docs/src/2019-2.pdf
2019-3,2019,Periodic Transaction Report #2 (filed 2019),Rep. Ro Khanna (CA-17),periodic_transaction_report,12,docs/src/2019-3.pdf
2019-4,2019,Periodic Transaction Report — Amendment (Jan 2019),Rep. Ro Khanna (CA-17),periodic_transaction_report,2,docs/src/2019-4.pdf
2019-5,2019,Periodic Transaction Report #3 (filed 2019),Rep. Ro Khanna (CA-17),periodic_transaction_report,6,docs/src/2019-5.pdf
2019-6,2019,Periodic Transaction Report #4 (filed 2019),Rep. Ro Khanna (CA-17),periodic_transaction_report,9,docs/src/2019-6.pdf
2019-7,2019,Periodic Transaction Report #5 (filed 2019),Rep. Ro Khanna (CA-17),periodic_transaction_report,10,docs/src/2019-7.pdf
2019-8,2019,Periodic Transaction Report #6 (filed 2019),Rep. Ro Khanna (CA-17),periodic_transaction_report,8,docs/src/2019-8.pdf
2019-9,2019,Periodic Transaction Report #7 (filed 2019),Rep. Ro Khanna (CA-17),periodic_transaction_report,11,docs/src/2019-9.pdf
2020-1,2020,Periodic Transaction Report #1 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,6,docs/src/2020-1.pdf
2020-10,2020,Periodic Transaction Report #10 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,11,docs/src/2020-10.pdf
2020-11,2020,Periodic Transaction Report #11 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,5,docs/src/2020-11.pdf
2020-12,2020,Periodic Transaction Report #12 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,8,docs/src/2020-12.pdf
2020-13,2020,Periodic Transaction Report #13 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,5,docs/src/2020-13.pdf
2020-14,2020,2020 Annual Financial Disclosure (Form A),Rep. Ro Khanna (CA-17),annual_disclosure,326,docs/src/2020-14.pdf
2020-15,2020,Periodic Transaction Report #14 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,7,docs/src/2020-15.pdf
2020-16,2020,Financial Disclosure Extension Request,Rep. Ro Khanna (CA-17),extension_request,1,docs/src/2020-16.pdf
2020-2,2020,Periodic Transaction Report #2 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,11,docs/src/2020-2.pdf
2020-3,2020,Periodic Transaction Report #3 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,13,docs/src/2020-3.pdf
2020-4,2020,Periodic Transaction Report #4 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,18,docs/src/2020-4.pdf
2020-5,2020,Periodic Transaction Report #5 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,9,docs/src/2020-5.pdf
2020-6,2020,Periodic Transaction Report #6 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,12,docs/src/2020-6.pdf
2020-7,2020,Periodic Transaction Report #7 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,7,docs/src/2020-7.pdf
2020-8,2020,Periodic Transaction Report #8 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,8,docs/src/2020-8.pdf
2020-9,2020,Periodic Transaction Report #9 (filed 2020),Rep. Ro Khanna (CA-17),periodic_transaction_report,6,docs/src/2020-9.pdf
2021-1,2021,Periodic Transaction Report / filing #1 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,6,docs/src/2021-1.pdf
2021-10,2021,Periodic Transaction Report / filing #10 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,8,docs/src/2021-10.pdf
2021-11,2021,Periodic Transaction Report / filing #11 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,11,docs/src/2021-11.pdf
2021-12,2021,Periodic Transaction Report / filing #12 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,1,docs/src/2021-12.pdf
2021-13,2021,2021 Annual Financial Disclosure (Form A),Rep. Ro Khanna (CA-17),annual_disclosure,303,docs/src/2021-13.pdf
2021-14,2021,Periodic Transaction Report / filing #13 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,6,docs/src/2021-14.pdf
2021-2,2021,Periodic Transaction Report / filing #2 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,6,docs/src/2021-2.pdf
2021-3,2021,Periodic Transaction Report / filing #3 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,4,docs/src/2021-3.pdf
2021-4,2021,Periodic Transaction Report / filing #4 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,4,docs/src/2021-4.pdf
2021-5,2021,Periodic Transaction Report / filing #5 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,3,docs/src/2021-5.pdf
2021-6,2021,Periodic Transaction Report / filing #6 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,3,docs/src/2021-6.pdf
2021-7,2021,Periodic Transaction Report / filing #7 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,5,docs/src/2021-7.pdf
2021-8,2021,Periodic Transaction Report / filing #8 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,23,docs/src/2021-8.pdf
2021-9,2021,Periodic Transaction Report / filing #9 (2021),Rep. Ro Khanna (CA-17),periodic_transaction_report,9,docs/src/2021-9.pdf
2022-1,2022,Periodic Transaction Report / filing #1 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,10,docs/src/2022-1.pdf
2022-10,2022,Periodic Transaction Report / filing #10 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,32,docs/src/2022-10.pdf
2022-11,2022,Periodic Transaction Report / filing #11 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,21,docs/src/2022-11.pdf
2022-12,2022,Periodic Transaction Report / filing #12 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,28,docs/src/2022-12.pdf
2022-13,2022,Periodic Transaction Report / filing #13 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,27,docs/src/2022-13.pdf
2022-14,2022,Periodic Transaction Report / filing #14 (2022),Rep. Ro Khanna (CA-17),periodic_transaction_report,1,docs/src/2022-14.pdf
2022-15,2022,2022 Annual Financial Disclosure (Form A),Rep. Ro Khanna (CA-17),annual_disclosure,367,docs/src/2022-15.pdf
